epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42693,1.54652,2.99992,1.8745,0.00333,1,0.77441,0.57934,0.66083,3.00483,1.46867,6e-05,6e-05,6e-05
2,2.18257,1.51137,2.87538,1.85332,0.00333,1,0.95786,0.76882,0.45631,2.92442,1.2765,0.000138614,0.000138614,0.000138614
3,2.94655,0.94042,2.43237,1.43322,0.00333,1,0.995,0.6905,0.73599,2.99216,1.39062,0.000215644,0.000215644,0.000215644
4,3.68543,0.46098,1.29631,1.0508,0.00333,1,0.995,0.90378,0.4053,2.63495,0.99946,0.00029109,0.00029109,0.00029109
5,4.43396,0.44483,1.00726,1.05495,0.00333,1,0.995,0.92843,0.40044,2.57456,0.93836,0.000364952,0.000364952,0.000364952
6,5.60047,0.55842,1.0239,1.10576,0.97588,1,0.995,0.88341,0.44042,1.95132,0.97483,0.00043723,0.00043723,0.00043723
7,6.57817,0.50004,0.96186,1.07054,0.98437,1,0.995,0.9323,0.32453,2.07148,0.89103,0.000507924,0.000507924,0.000507924
8,7.32102,0.4362,0.95801,1.04838,0.99082,1,0.995,0.93167,0.39514,1.92183,0.98211,0.000577034,0.000577034,0.000577034
9,8.05804,0.46294,0.9234,1.06262,0.99263,1,0.995,0.94441,0.38048,1.78511,0.95564,0.00064456,0.00064456,0.00064456
10,8.77402,0.54277,0.93336,1.07626,0.98,1,0.995,0.94066,0.32218,1.89288,0.89269,0.000710502,0.000710502,0.000710502
11,9.54845,0.45515,0.78567,0.9838,0.99142,1,0.995,0.93987,0.35098,1.69789,0.9296,0.00077486,0.00077486,0.00077486
12,10.277,0.4049,0.75084,0.93639,0.99119,1,0.995,0.85418,0.54174,1.99636,1.04781,0.000837634,0.000837634,0.000837634
13,11.0043,0.47531,0.78157,1.01804,0.92555,1,0.99125,0.84932,0.57893,1.87901,1.10235,0.000898824,0.000898824,0.000898824
14,11.6935,0.4598,0.73633,1.01173,0.98922,1,0.995,0.87275,0.55863,1.71591,1.0906,0.00095843,0.00095843,0.00095843
