epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27747,1.65456,2.97161,1.99,0.00333,1,0.81835,0.55522,0.67742,2.99821,1.50807,6e-05,6e-05,6e-05
2,1.97092,1.58663,2.83533,1.91775,0.00333,1,0.95695,0.79678,0.50839,2.93409,1.38088,0.000138614,0.000138614,0.000138614
3,2.81204,1.06575,2.47583,1.5598,0.00333,1,0.967,0.76307,0.54602,2.89674,1.25177,0.000215644,0.000215644,0.000215644
4,3.53357,0.52383,1.33802,1.10496,0.00333,1,0.9825,0.78555,0.54767,2.73228,1.13615,0.00029109,0.00029109,0.00029109
5,4.22064,0.49375,1.10248,1.12424,0.00333,1,0.99125,0.82027,0.62511,2.70266,1.20221,0.000364952,0.000364952,0.000364952
6,4.90837,0.55544,1.07812,1.14237,1,0.94219,0.995,0.77486,0.61984,2.25867,1.27446,0.00043723,0.00043723,0.00043723
7,5.59718,0.4542,0.93637,1.04086,0.97904,1,0.995,0.90773,0.38871,2.19531,0.97947,0.000507924,0.000507924,0.000507924
8,6.28745,0.52551,0.98636,1.08394,0.99564,1,0.995,0.91828,0.43001,1.59517,1.03187,0.000577034,0.000577034,0.000577034
9,6.98205,0.51624,0.9103,1.07973,0.98988,1,0.995,0.88319,0.4771,2.08704,1.01034,0.00064456,0.00064456,0.00064456
10,7.66992,0.50559,0.94202,1.04187,0.98877,1,0.995,0.91134,0.45792,2.00766,1.05884,0.000710502,0.000710502,0.000710502
11,8.35965,0.49078,0.78505,1.00422,0.99259,1,0.995,0.97054,0.35944,1.69521,0.92354,0.00077486,0.00077486,0.00077486
12,9.04588,0.42155,0.75557,0.99795,1,0.99514,0.995,0.90304,0.42202,1.93266,1.01669,0.000837634,0.000837634,0.000837634
13,9.7342,0.51979,0.77598,1.02124,1,0.99154,0.995,0.89724,0.45191,1.9101,1.07504,0.000898824,0.000898824,0.000898824
14,10.4154,0.44053,0.71873,1.0275,1,0.98705,0.995,0.91414,0.47821,1.92277,1.10116,0.00095843,0.00095843,0.00095843
15,11.0964,0.50466,0.72969,1.08396,0.96917,0.93333,0.985,0.92288,0.38033,1.87542,0.98892,0.00101645,0.00101645,0.00101645
16,11.778,0.44884,0.69919,1.0186,0.98293,1,0.995,0.93532,0.36326,1.74478,0.94463,0.00107289,0.00107289,0.00107289
17,12.4512,0.49554,0.73648,1.02004,0.98275,1,0.995,0.91797,0.42924,1.61233,0.99595,0.00112774,0.00112774,0.00112774
18,13.2122,0.47107,0.69524,1.00287,1,0.99988,0.995,0.90522,0.41134,1.50486,0.98076,0.00118101,0.00118101,0.00118101
19,13.8807,0.43554,0.72322,0.996,0.99387,1,0.995,0.9157,0.411,1.19385,0.96672,0.0012327,0.0012327,0.0012327
20,14.556,0.47464,0.6846,1.00944,1,0.97852,0.995,0.89503,0.47255,1.1348,1.03908,0.0012828,0.0012828,0.0012828
21,15.2421,0.43833,0.6132,0.98602,0.9903,0.93333,0.98237,0.98237,0.37053,1.28115,0.93606,0.00133132,0.00133132,0.00133132
22,15.9125,0.52288,0.64621,1.0597,0.97254,1,0.995,0.81227,0.44838,1.28135,1.00131,0.00137825,0.00137825,0.00137825
23,16.5878,0.49673,0.72806,1.06585,0.91679,1,0.96187,0.83659,0.60977,1.23942,1.18755,0.0014236,0.0014236,0.0014236
24,17.255,0.53337,0.67658,1.02227,0.83167,1,0.93839,0.85216,0.48327,1.27451,1.02064,0.00146737,0.00146737,0.00146737
25,17.9236,0.45837,0.68976,1.01125,0.98586,1,0.995,0.92335,0.4735,1.17392,1.053,0.00150955,0.00150955,0.00150955
26,18.5969,0.44177,0.69015,0.96859,0.98575,1,0.995,0.85402,0.5196,1.22486,1.06926,0.001505,0.001505,0.001505
27,19.2726,0.44439,0.60884,1.00664,0.9741,0.93333,0.98794,0.6198,0.7792,1.72698,1.375,0.0014852,0.0014852,0.0014852
28,19.943,0.51471,0.79003,1.09505,1,0.91509,0.97591,0.88552,0.40838,1.20181,1.00764,0.0014654,0.0014654,0.0014654
29,20.6203,0.48439,0.62625,1.01878,0.99009,1,0.995,0.95095,0.34301,0.90823,0.93806,0.0014456,0.0014456,0.0014456
30,21.2937,0.46396,0.64857,1.04805,0.99339,1,0.995,0.94919,0.36769,0.74587,0.92806,0.0014258,0.0014258,0.0014258
31,22.0397,0.47738,0.59518,1.03305,0.99609,1,0.995,0.9613,0.35322,0.68292,0.9094,0.001406,0.001406,0.001406
32,22.7149,0.44232,0.57298,0.96815,0.99562,1,0.995,0.9531,0.3573,0.57975,0.90239,0.0013862,0.0013862,0.0013862
33,23.3986,0.5091,0.61064,1.03984,0.99347,1,0.995,0.9126,0.30627,0.62378,0.86683,0.0013664,0.0013664,0.0013664
34,24.0669,0.41967,0.56716,1.0099,0.99363,1,0.995,0.90027,0.46363,0.72265,1.00287,0.0013466,0.0013466,0.0013466
35,24.7396,0.44844,0.61937,0.99037,0.99236,1,0.995,0.95747,0.36836,0.6246,0.91572,0.0013268,0.0013268,0.0013268
36,25.4136,0.46827,0.58964,1.0322,0.99003,1,0.995,0.93479,0.33776,0.6415,0.89717,0.001307,0.001307,0.001307
37,26.0807,0.39881,0.52582,0.95982,0.99183,1,0.995,0.91879,0.33937,0.69812,0.89842,0.0012872,0.0012872,0.0012872
38,26.7546,0.44284,0.53855,0.99283,0.98994,1,0.995,0.96075,0.3306,0.70558,0.9075,0.0012674,0.0012674,0.0012674
39,27.4273,0.43074,0.52558,0.95141,0.9747,1,0.995,0.92164,0.37627,0.76125,0.9574,0.0012476,0.0012476,0.0012476
40,28.0928,0.43358,0.55445,1.00422,0.98801,1,0.995,0.93124,0.42256,0.67632,0.95685,0.0012278,0.0012278,0.0012278
41,28.764,0.41663,0.49767,0.98752,0.99299,1,0.995,0.9031,0.47628,0.6275,1.00585,0.001208,0.001208,0.001208
